名字,开放时间,评分,建议游玩时间,门票,来源城市
观澜湖华谊冯小刚电影公社Mission Hills H?Brothers Feng Xiaogang Film Commune,09:00-22:00,4.3,4.5,1942.0,海口
假日海滩Holiday beach,9:00-21:00,4.5,4.0,6.0,海口
五公祠Five Officials Temple,8:00-18:00,4.4,2.0,19.0,海口
东寨港红树林Dongzhaigang mangroves,9:00-17:30,4.2,2.5,55.0,海口
雷琼海口火山群世界地质公园Leiqiong UNESCO Global Geopark,8:00-18:00,4.6,2.5,45.0,海口
金牛岭公园Jinniuling Park,5:00-23:00,4.5,2.5,5.0,海口
海口市博物馆Haikou Museum,8:00-17:30,4.2,1.5,25.0,海口
金牛岭,6:00-20:00,4.0,2.5,0.0,海口
秀英炮台,8:00-17:30,3.0,1.0,2013.0,海口
古龙峡Gulong Gorge,13:00-15:00,4.2,12.0,35.0,清远
英西峰林走廊Yingxi Fenglin Corridor,08:00-17:30,3.9,5.0,30.0,清远
峰林晓镇Jiulong Town,8:30-18:00,4.1,12.0,60.0,清远
千年瑶寨Millennium Yaozhai,09:00-17:30,4.7,108.0,100.0,清远
黄腾峡天门悬廊Huangteng Gorge Tianmen Hanging Corridor,08:30-22:30,4.3,1.5,75.0,清远
美林湖摩天轮Merrill Lake Ferris Wheel,10:00-22:00,4.1,0.75,158.0,清远
美林湖温泉Mayland Resort Hotel,09:00-00:00,4.7,2.5,118.0,清远
清远天子山瀑布Qingyuan Tianzishan Waterfall,8:00-17:30,4.3,3.5,48.0,清远
广东第一峰Shaoguan Guangdong First Peak,7:30-16:30,4.0,72.0,44.86,清远
连州地下河Lianzhou Underground River,8:30-17:00,4.6,1.75,106.0,清远
牛鱼嘴风景区Niuyuzui Primitive Ecological Scenic Area,8:30-18:00,3.8,12.0,67.1,清远
太和古洞Taihe Ancient Cave,7:00-17:00,4.4,1.0,6.0,清远
清远宝晶宫国际旅游度假区Baojing Palace,08:30-18:00,4.6,2.5,75.0,清远
湟川三峡Huangchuan River Three Gorges,09:00-17:00,4.2,1.5,43.0,清远
故乡里民俗文化村Guxiangli Theme Park,9:00-17:00,4.4,2.5,57.3,清远
沂蒙山旅游区沂山景区Mt Yimeng Tourist Area,07:30-17:00,4.4,72.0,40.0,潍坊
浮烟山文旅公园Fuyanshan Forest Park,8:00-17:30,3.7,12.0,6.0,潍坊
黄花溪Huanghua Creek,08:00-17:30,4.6,2.5,90.0,潍坊
潍坊风筝博物馆Weifang Kite Museum,08:00-18:00,4.5,1.5,0.0,潍坊
杨家埠民间艺术大观园Yangjiabu Folk Art Grand View Garden,8:00-17:30,4.2,2.5,40.0,潍坊
云门山风景区Yunmenshan Scenic Spot,8:00-17:30,4.6,3.5,1.0,潍坊
老龙湾Laolongwan Scenic Resort,8:00-17:00,4.4,1.0,34.7,潍坊
金宝乐园Jinbao Paradise,8:00-17:00,4.5,3.5,46.0,潍坊
寿光蔬菜高科技示范园Shouguang Vegetable Hi-Tech Demonstration Park,08:00-17:00,4.2,2.5,30.0,潍坊
山东安丘青云山民俗游乐园Qingyun Mountain Folk-custom Amusement Park,7:30-18:00,4.4,4.5,1.0,潍坊
驼山Camel Mountain,7:00-17:00,4.4,1.5,80.0,潍坊
石门坊Shimen Lane,7:30-18:00,4.4,12.0,15.0,潍坊
临朐红叶小镇樱花谷,08:30-16:30,4.0,2.5,35.0,潍坊
玉带滩Yudai Beach,8:00-16:00,4.3,1.0,12500.0,琼海
博鳌亚洲论坛成立会址Venue of the Boao Forum for Asia,8:00-18:00,4.2,2.5,23.0,琼海
白石岭Baishi Ridge,8:30-17:30,4.6,3.0,30.0,琼海
博鳌东方文化苑Bo'ao Oriental Culture Courtyard,8:00-18:00,4.3,3.5,200.0,琼海
多河文化谷旅游区Duohe Culture Valley Tourist Area,8:00-17:00,4.2,12.0,24.6,琼海
海的故事一条街Sea Story,09:00-01:00,4.5,2.5,0.0,琼海
琼海市博物馆Qionghaishi Museum,8:30-17:30,4.0,1.5,0.0,琼海
龙寿洋万亩田野公园Longshou Yangwanmu Field Park,09:00-17:00,3.7,2.5,37.0,琼海
福州国家森林公园Fuzhou National Forest Park,08:00-16:30,4.6,2.5,1.6,福州
飞云峡Feiyun Gorge,8:00-17:00,3.7,3.5,38.0,福州
林则徐纪念馆Lin Zexu Memorial Hall,8:30-17:00,4.7,1.25,279.0,福州
福州云顶Fuzhou Yunding,8:00-17:00,4.5,108.0,144.8,福州
西禅寺Xichan Temple,7:00-18:00,4.6,1.5,8.0,福州
云顶天池Genting Tianchi,8:30-17:00,4.4,2.0,178.0,福州
灵石山国家森林公园Lingshi (Spirit Rock) Mountain National Forest Park,7:30-18:30,4.1,3.5,15.0,福州
郎官巷Fuzhou Langguan Trail,8:30-17:00,4.6,1.0,0.0,福州
福州动物园Fuzhou Zoo,08:00-18:00,4.4,4.0,60.0,福州
福州文庙Confucian Temple of Fuzhou,8:30-17:00,4.3,1.0,12.0,福州
福州儿童公园Fuzhou Children‘s Park,06:00-22:00,4.5,12.0,0.0,福州
仙人井Xianrenjing,8:00-17:00,4.3,0.75,21.0,福州
左海公园Zuohai Park,8:30-17:00,4.4,2.5,90.0,福州
青云山Qingyun Mountain,8:00-16:30,4.5,72.0,32.0,福州
安民巷Anmin Alley,8:30-17:00,4.3,1.0,120.0,福州
南岳大庙Grand Temple of Mount Heng,7:00-17:30,4.6,2.5,40.0,衡阳
磨镜台Mojingtai,06:00-17:30,4.6,0.65,80.0,衡阳
水帘洞Shuilian (Water Curtain) Cave,7:30-17:30,4.3,1.5,10.0,衡阳
南岳忠烈祠Nanyue Memorial Hall,7:00-17:30,4.6,1.5,699.0,衡阳
罗荣桓故居Luoronghuan Former Residence,9:00-17:00,4.6,2.5,0.0,衡阳
蔡伦竹海Cailun Bamboo Ocean,8:00-17:00,4.3,4.0,44.8,衡阳
青岩古镇Qingyan Ancient Town,08:30-17:00,4.4,2.5,60.0,贵阳
黔灵山公园Qianling Mountain Park,07:00-18:00,4.6,3.5,9.0,贵阳
红枫湖Hongfeng Lake,7:00-19:00,3.6,4.0,9.0,贵阳
多彩贵州城极地海洋世界Colorful Guizhou City Polar Ocean World,9:00-17:30,4.6,2.5,149.0,贵阳
天河潭旅游度假区Tianhetan,08:30-18:00,4.5,4.5,73.0,贵阳
河滨公园Riverside Park,7:00-22:00,4.5,1.5,2.0,贵阳
贵州森林野生动物园Guizhou Forest Wildlife Park,9:00-18:00,4.2,4.0,99.0,贵阳
香纸沟Xiangzhigou Workshop,8:00-18:00,4.2,6.0,75.0,贵阳
百花湖Baihua Lake,8:00-18:30,4.5,2.5,680.0,贵阳
黄姚古镇Huangyao Ancient Town,08:00-18:00,4.3,12.0,65.0,贺州
姑婆山Gupo Mountain,08:00-17:00,4.6,12.0,60.0,贺州
贺州客家围屋Hakka round houses in Hezhou,8:00-17:30,3.4,1.0,15.0,贺州
十八水原生态景区18 Water Ecological Scenic Area,8:00-18:00,4.1,2.5,50.0,贺州
紫云洞景区Ziyun Cave Scenic Spot,8:00-17:30,4.4,1.0,30.0,贺州
玉石林风景区Jade Forest Scenic Area,08:00-17:30,4.5,2.0,45.0,贺州
梅里雪山国家公园Meili Snow Mountain,6:00-16:30,4.7,108.0,8.0,迪庆
普达措国家公园Pudacuo National Park,08:30-16:00,4.5,5.0,138.0,迪庆
虎跳峡Tiger Leaping Gorge,7:30-18:00,4.5,4.0,289.0,迪庆
纳帕海Napa Sea,8:00-18:00,4.0,4.0,498.0,迪庆
虎跳峡（香格里拉段）Tiger  Leaping  Gorge,08:00-17:30,4.6,12.0,45.0,迪庆
石卡雪山Shika Snow Mountain,8:00-16:10,4.5,3.5,50.0,迪庆
白水台Baishui Terrace,7:00-17:00,4.5,2.5,1.0,迪庆
明永冰川Mingyong Glacier,7:00-16:00,4.6,5.5,4.0,迪庆
"冰湖Ice Lake, Moirig Snow Mountain",7:00-16:30,4.6,1.0,230.0,迪庆
香格里拉巴拉格宗风景名胜区Balagezong Grand Canyon,9:00-18:00,4.5,12.0,165.0,迪庆
拉姆央措湖Lamuyangcuo Lake,9:00-18:00,4.4,0.65,90.0,迪庆
鸡公石Cock Stone Island,8:00-17:00,4.0,0.4,0.0,迪庆
三角龙湾Triceratops Bay,7:00-17:00,4.1,4.0,50.0,通化
龙湾群国家森林公园四方顶景区,07:00-17:00,5.0,12.0,50.0,通化
将军坟The General Tomb,8:00-17:00,4.9,1.0,30.0,通化
扁鹊庙Ancestral Temple of Bianque,08:30-17:30,4.6,2.5,35.0,邢台
秦王湖Qinwanghu,8:00-20:00,4.3,2.0,9.9,邢台
兴台古镇Xingtai Ancient Town,8:30-18:00,3.8,12.0,88.0,邢台
天河山Tianhe Mountain,7:00-18:00,4.5,12.0,65.0,邢台
天梯山景区Tianti Mountain Scenic Area,8:00-17:00,4.3,3.0,26.9,邢台
崆山白云洞White Cloud Cave of Mount Kong,08:00-17:30,4.5,2.5,110.0,邢台
云梦山风景区Yumeng Mountain Resort,08:30-17:30,4.3,3.5,29.1,邢台
邢台大峡谷Xingtai Gorges,8:00-17:30,4.4,12.0,25.0,邢台
紫金山旅游区Mount Zijin Tourist Area,7:30-18:30,4.3,4.5,29.9,邢台
张果老山Zhang Guolao Mountain,6:00-18:00,4.2,2.0,25.0,邢台
柏乡牡丹世界旅游景区,9:00-18:00,5.0,2.5,30.0,邢台
周公山Zhougong Mountain,09:00-18:30,4.0,72.0,45.0,邢台
响沙湾Whistling Dune Bay (Xiangshawan),08:30-18:00,4.4,2.0,130.0,鄂尔多斯
鄂尔多斯大草原Ordos Prairie,8:00-22:00,4.6,6.0,39.9,鄂尔多斯
七星湖沙漠生态旅游区Qixing Lake Desert Ecological Park,08:30-17:00,4.2,12.0,100.0,鄂尔多斯
鄂尔多斯草原旅游区Ordos Grasslands Tourist Area,8:00-23:00,4.5,3.5,39.9,鄂尔多斯
成吉思汗陵Mausoleum of Genghis Khan,07:30-19:30,4.3,2.5,90.0,鄂尔多斯
康镇Kangzhen Town,09:00-18:00,2.7,12.0,60.0,鄂尔多斯
恩格贝旅游区Engebe Tourist Area,8:00-17:00,4.5,4.5,9.0,鄂尔多斯
萨拉乌苏旅游区Salawusu Tourist Area,8:30-18:00,3.7,2.5,25.0,鄂尔多斯
库布齐神光响沙旅游区Ordos Kubuqi Shenguang Xiangsha Tourist Zone,08:00-19:00,4.6,4.0,30.0,鄂尔多斯
黄河三盛公水利风景区Huanghe Sanshenggong National Park,9:00-17:30,4.5,4.0,11.0,鄂尔多斯
铁煤蒸汽机车博物馆Tiemeizhengqijiche Museum,08:30-16:00,4.4,1.0,80.0,铁岭
褒禅山景区Baochan Mountain Scenic Area,8:30-16:30,4.6,3.5,40.0,马鞍山
陋室公园Loushi Park (North Gate),8:00-21:00,4.6,1.0,7.0,马鞍山
马鞍山马钢盆山Ma'anshan Magangpen Mountain,8:00-17:00,5.0,72.0,5.0,马鞍山
大青山野生动物世界Daqing Shan Yesheng Dongwu World,8:30-17:00,4.2,2.5,86.0,马鞍山
三棵树庄园Sankeshu Manor,09:00-17:30,3.9,3.5,50.0,马鞍山
